latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,rightAvoidDist,leftAvoidDist,upAvoidDist,downAvoidDist,isBrakingToAvoid
42.323412,117.204576,2.40,0.00,1.81,0.71,2.40,2.40,1.81,0.71,0,2024-06-21 09:05:49.944,2024-06-21 17:05:49.943,17,0,0,25.691,42.323414,117.204567,0.10,0.10,-1.70,-2.80,0.50,-149.00,0,1,0,95,91,-756,5180,25691,2932.50,36,P-GPS,1,0,0,0,265,0,0,1718960749943,4051,4054,4054,4058,4056,4053,18,Litchi_4.26.0-g,,0670161996,03LU200020,null,,0,0,0,28.00,5.00,-1490.00,0.00,0.00,0.00,6,24.00,18.06,7.13,1.00,1.00,-17.00,0,,,100,39,13,2,0,0,1,2,0,,,,null,0.0,0.0,0.0,0.0,0.0,0.0,-1
42.323412,117.204576,2.60,0.00,1.71,0.72,2.60,2.60,1.81,0.72,203,2024-06-21 09:05:50.147,2024-06-21 17:05:50.147,17,0,0,25.691,42.323414,117.204567,0.10,0.00,-1.30,-2.70,0.50,-149.00,0,1,0,95,91,-756,5180,25691,2932.50,36,P-GPS,1,0,0,0,197,0,0,1718960750146,4051,4054,4054,4058,4056,4053,18,,,,,,,0,0,0,27.00,5.00,-1490.00,0.00,0.00,0.00,6,26.00,17.06,7.22,1.00,0.00,-13.00,0,,,100,39,13,2,0,0,1,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
42.323413,117.204576,3.00,0.00,1.10,0.72,3.00,3.00,1.81,0.72,305,2024-06-21 09:05:50.249,2024-06-21 17:05:50.248,17,0,0,25.691,42.323414,117.204567,0.10,0.00,-1.10,-1.80,0.40,-149.00,0,1,0,95,91,-756,5180,25691,2932.50,36,P-GPS,1,0,0,0,216,0,0,1718960750248,4051,4054,4054,4058,4056,4053,18,,,,,,,0,0,0,18.00,4.00,-1490.00,0.00,0.00,0.00,6,30.00,11.05,7.24,1.00,0.00,-11.00,0,,,100,39,13,2,0,0,1,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
42.323413,117.204576,3.10,0.00,0.80,0.72,3.10,3.10,1.81,0.72,510,2024-06-21 09:05:50.453,2024-06-21 17:05:50.453,17,0,0,25.691,42.323414,117.204567,0.00,0.00,-0.80,-1.70,0.10,-149.00,0,1,0,95,91,-756,5180,25691,2932.50,36,P-GPS,1,0,0,0,217,0,0,1718960750453,4051,4054,4054,4058,4056,4053,18,,,,,,,0,0,0,17.00,1.00,-1490.00,0.00,0.00,0.00,6,31.00,8.00,7.23,0.00,0.00,-8.00,0,,,100,39,13,2,0,0,0,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
42.323413,117.204576,3.30,0.00,0.70,0.73,3.30,3.30,1.81,0.73,707,2024-06-21 09:05:50.650,2024-06-21 17:05:50.650,17,0,0,25.691,42.323414,117.204567,0.00,0.00,-0.70,-1.40,-0.10,-148.90,0,1,0,95,91,-756,5180,25691,2932.50,36,P-GPS,1,0,0,0,218,0,0,1718960750650,4051,4054,4054,4058,4056,4053,18,,,,,,,0,0,0,14.00,-1.00,-1489.00,0.00,0.00,0.00,6,33.00,7.00,7.25,0.00,0.00,-7.00,0,,,100,39,13,2,0,0,0,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
42.323413,117.204576,3.30,0.00,0.70,0.73,3.30,3.30,1.81,0.73,810,2024-06-21 09:05:50.753,2024-06-21 17:05:50.753,17,0,0,25.691,42.323414,117.204567,0.00,0.00,-0.70,-1.40,0.00,-149.00,0,1,0,95,91,-756,5180,25691,2932.50,36,P-GPS,1,0,0,0,220,0,0,1718960750753,4051,4054,4054,4058,4056,4053,18,,,,,,,0,0,0,14.00,0.00,-1490.00,0.00,0.00,0.00,6,33.00,7.00,7.29,0.00,0.00,-7.00,0,,,100,39,13,2,0,0,0,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
42.323413,117.204576,3.50,0.00,0.80,0.74,3.50,3.50,1.81,0.74,1013,2024-06-21 09:05:50.956,2024-06-21 17:05:50.956,17,0,0,25.691,42.323414,117.204567,0.00,0.00,-0.80,-1.30,0.20,-148.90,0,1,0,95,91,-756,5180,25691,2932.50,36,P-GPS,1,0,0,0,242,0,0,1718960750956,4051,4054,4054,4058,4056,4053,18,,,,,,,0,0,0,13.00,2.00,-1489.00,0.00,0.00,0.00,6,35.00,8.00,7.40,0.00,0.00,-8.00,0,,,100,39,13,2,0,0,0,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
42.323413,117.204576,3.50,0.00,0.80,0.74,3.50,3.50,1.81,0.74,1212,2024-06-21 09:05:51.155,2024-06-21 17:05:51.155,17,0,0,25.691,42.323414,117.204567,0.00,0.00,-1.00,-1.30,0.20,-148.90,0,1,0,95,91,-756,5180,25691,2932.50,36,P-GPS,1,0,0,0,307,0,0,1718960751155,4051,4054,4054,4058,4056,4053,18,,,,,,,0,0,0,13.00,2.00,-1489.00,0.00,0.00,0.00,6,35.00,8.00,7.40,0.00,0.00,-10.00,0,,,100,39,13,2,0,0,0,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
42.323413,117.204576,3.80,0.00,1.20,0.75,3.80,3.80,1.81,0.75,1314,2024-06-21 09:05:51.257,2024-06-21 17:05:51.257,17,0,0,25.691,42.323414,117.204567,0.00,0.00,-1.20,-0.50,0.20,-148.90,0,1,0,95,91,-756,5180,25691,2932.50,36,P-GPS,1,0,0,0,287,0,0,1718960751257,4051,4054,4054,4058,4056,4053,18,,,,,,,0,0,0,5.00,2.00,-1489.00,0.00,0.00,0.00,6,38.00,12.00,7.46,0.00,0.00,-12.00,0,,,100,39,13,2,0,0,0,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
42.323413,117.204576,4.00,0.00,1.30,0.75,4.00,4.00,1.81,0.75,1417,2024-06-21 09:05:51.360,2024-06-21 17:05:51.360,17,0,0,25.691,42.323414,117.204567,0.10,0.00,-1.30,-0.60,0.10,-148.90,0,1,0,95,91,-756,5180,25691,2932.50,36,P-GPS,1,0,0,0,281,0,0,1718960751360,4051,4054,4054,4058,4056,4053,18,,,,,,,0,0,0,6.00,1.00,-1489.00,0.00,0.00,0.00,6,40.00,13.04,7.48,1.00,0.00,-13.00,0,,,100,35,13,2,0,0,0,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
