2024 06 21 17:05:20 1718960720.85  978.4760 1034.8338 1035.2914 1023.9020 0.00  293.84  293.71  295.77  290.34  0.76  0.99  2.27  2.05  25 16.28 63.37
2024 06 21 17:05:20 1718960720.92  978.6710 1034.9225 1033.9667 1023.4486 0.00  293.84  293.71  295.77  290.34  1.18  0.56  1.04  1.69  25 15.94 62.99
2024 06 21 17:05:20 1718960720.98  978.3061 1034.7436 1035.2964 1021.9764 0.00  293.84  293.71  295.77  290.34  1.01  0.72  0.92  1.19  25 15.88 62.61
2024 06 21 17:05:21 1718960721.04  978.3487 1035.0882 1035.2692 1022.2912 0.00  293.84  293.65  295.77  290.34  0.96  0.56  1.91  1.44  25 15.85 62.90
2024 06 21 17:05:21 1718960721.10  978.3673 1034.9300 1033.0406 1021.6842 0.00  293.84  293.65  295.77  290.34  0.77  1.03  0.99  1.02  25 15.88 62.67
2024 06 21 17:05:21 1718960721.17  978.2964 1034.6655 1034.8151 1022.7688 0.00  293.84  293.65  295.77  290.34  0.79  0.79  1.74  1.21  25 15.86 62.31
2024 06 21 17:05:21 1718960721.23  978.3476 1034.7271 1034.0318 1022.8843 0.00  293.84  293.65  295.77  290.40  0.70  0.88  3.00  1.72  25 15.87 62.90
2024 06 21 17:05:21 1718960721.29  978.5415 1035.0980 1035.0015 1022.0709 0.00  293.84  293.71  295.77  290.40  0.90  0.66  1.29  1.34  25 15.81 62.85
2024 06 21 17:05:21 1718960721.36  978.4236 1034.7867 1032.3565 1023.5430 0.00  293.84  293.71  295.77  290.40  1.16  0.78  0.98  2.58  25 15.88 62.94
2024 06 21 17:05:21 1718960721.42  978.4300 1035.0574 1033.7170 1023.0030 0.00  293.84  293.71  295.77  290.34  0.82  1.12  1.07  1.38  25 15.54 62.60
2024 06 21 17:05:21 1718960721.48  978.1633 1035.4019 1033.3320 1021.4677 0.00  293.84  293.71  295.77  290.34  0.86  1.06  1.72  0.90  25 15.85 62.88
2024 06 21 17:05:21 1718960721.54  978.0871 1035.0896 1034.6899 1022.5414 0.00  293.84  293.65  295.77  290.34  0.98  1.30  0.91  1.34  25 15.62 62.41
2024 06 21 17:05:21 1718960721.61  978.9305 1035.3124 1034.5141 1022.3549 0.00  293.84  293.65  295.77  290.34  0.91  1.31  2.53  1.33  25 15.90 62.92
2024 06 21 17:05:21 1718960721.67  978.2445 1035.3166 1035.2563 1022.7702 0.00  293.84  293.65  295.77  290.34  1.13  0.80  1.48  1.29  25 15.60 62.33
2024 06 21 17:05:21 1718960721.73  978.6815 1035.2419 1037.2252 1024.4227 0.00  293.84  293.71  295.77  290.34  0.97  0.89  0.63  2.25  25 15.87 62.94
2024 06 21 17:05:21 1718960721.80  978.0527 1035.3919 1033.5574 1023.0866 0.00  293.84  293.71  295.77  290.34  1.04  0.94  1.46  1.60  25 15.56 62.62
2024 06 21 17:05:21 1718960721.86  978.1940 1034.6872 1032.0645 1021.4754 0.00  293.84  293.71  295.77  290.34  0.78  0.78  1.17  1.67  25 15.85 62.93
2024 06 21 17:05:21 1718960721.92  978.0517 1035.0897 1033.4188 1023.0953 0.00  293.84  293.71  295.77  290.34  1.01  0.91  0.52  1.09  25 15.87 62.92
2024 06 21 17:05:21 1718960721.99  979.3706 1035.0558 1034.4362 1023.8559 0.00  293.84  293.65  295.84  290.34  1.25  0.70  1.82  1.22  25 15.80 62.87
2024 06 21 17:05:22 1718960722.05  978.6959 1035.0947 1035.0983 1022.3315 0.00  293.84  293.65  295.84  290.34  0.94  1.17  1.73  1.05  25 15.88 62.92
2024 06 21 17:05:22 1718960722.11  978.2112 1035.2019 1036.8550 1023.1634 0.00  293.84  293.65  295.84  290.34  1.05  0.86  0.78  2.10  25 15.88 62.90
