polra_name,flightcsv,landuse,lat,lon,Demo,elevall,flighthight,hang,lie,file,UTC,t2,skt,st,swv,aspect20cm,slope20cm,DEM20cm,slope60m,aspect60m,srtm_60_05,slope_30m,aspect_30m,SRTM_30m
POLRA3_20240621_17_05_19,2024-06-21_17-05-49_v2.csv,cropandnatural,42.32448166,117.2052244,croptree,1525.103714,25.12531345,8,3,40,9,288.77734,294.3877,289.22363,0.2931366,-9999,-9999,-9999,89.9832001,228.576004,1501,89.9908981,270,1503
POLRA3_20240621_18_25_20,2024-06-21_18-28-41_v2.csv,crop,42.32338741,117.2045642,nan,1520.727761,28.87239583,8,3,41,10,290.11377,294.38843,290.19409,0.23606873,-9999,-9999,-9999,89.9698029,198.4349976,1498,89.9841003,180,1498
POLRA3_20240621_18_36_15,2024-06-21_18-36-15_v2.csv,crop,42.32445129,117.2051528,nan,1516.197627,18.75694882,8,3,42,11,290.53809,294.95703,290.22217,0.29408264,-9999,-9999,-9999,89.9832001,228.576004,1501,89.9908981,270,1503
POLRA3_20240623_09_14_25,2024-06-23_09-16-56_v2.csv,grass,42.32567505,117.2074158,nan,1526.288466,14.51327247,8,3,43,1,302.9209,308.08472,301.5896,0.24588013,-9999,-9999,-9999,89.9726028,291.0379944,1506,89.9923019,345.9639893,1508
POLRA3_20240623_09_53_51,2024-06-23_09-57-35_v2.csv,crop,42.32334917,117.2045816,nan,1518.239276,20.18039962,8,3,44,2,304.92139,309.67139,304.33813,0.2046814,-9999,-9999,-9999,89.9698029,198.4349976,1498,89.9841003,180,1498
POLRA3_20240623_09_59_53,2024-06-23_09-59-53_v2.csv,crop,42.32471214,117.205071,nan,1527.99681,20.69930853,8,3,44,2,304.92139,309.67139,304.33813,0.2046814,-9999,-9999,-9999,89.9832001,228.576004,1501,89.9915009,176.1860046,1503
POLRA3_20240623_16_49_02,2024-06-23_16-49-23_v2.csv,grass,42.30508654,117.2317071,nan,1496.680336,14.70126652,8,3,45,9,305.06714,308.98853,304.12891,0.20285034,-9999,-9999,-9999,89.9863968,175.9140015,1466,89.9700012,135,1467
POLRA3_20240623_18_33_06,2024-06-23_18-34-02_v2.csv,grass,42.32665572,117.3102377,nan,1551.270523,13.87967515,8,4,46,11,288.13208,288.75391,289.10925,0.36219788,-9999,-9999,-9999,89.9858017,41.9872017,1533,89.9881973,21.8013992,1535
POLRA3_20240624_10_41_33,2024-06-24_10-42-22_v2.csv,bareland,42.41473007,116.884503,nan,1392.630012,25.81702908,7,10,47,3,289.2793,289.17041,289.43311,0.34623718,-9999,-9999,-9999,89.9888,151.9279938,1358,89.9921036,119.7450027,1359
POLRA3_20240624_11_42_18,2024-06-24_11-42-43_v2.csv,bareland,42.41436366,116.8940679,nan,1372.58432,24.40532957,7,10,48,4,288.44128,288.63,289.07397,0.34329224,-9999,-9999,-9999,89.9760971,90,1345,89.9925995,79.9919968,1343
POLRA3_20240624_18_02_02,2024-06-24_18-02-20_v2.csv,crop,42.33148545,117.2924548,nan,1541.900178,20.09987071,8,4,49,10,281.56763,283.2312,284.08264,0.31892395,-9999,-9999,-9999,89.9866028,39.2893982,1520,89.9850006,45,1516
POLRA3_20240625_10_05_20,2024-06-25_10-05-36_v2.csv,shrublands,42.46786164,117.320537,grassshrub,1573.278779,13.06382527,6,4,50,2,283.59167,284.51245,284.96045,0.31373596,-9999,-9999,-9999,89.9858017,221.9869995,1538,89.9916992,168.6900024,1539
POLRA3_20240625_11_12_31,2024-06-25_11-13-01_v2.csv,grass,42.46894261,117.3206816,GPS,1578.188245,13.14369395,6,4,51,3,284.72632,286.26318,287.40015,0.31404114,-9999,-9999,-9999,89.9916,210.5299988,1541,89.9859009,263.6600037,1551
POLRA3_20240625_16_49_32,2024-06-25_16-50-00_v2.csv,grass,42.31255511,117.0112807,nan,1447.936506,19.50187014,8,11,52,9,284.047,284.40454,285.89966,0.31163025,-9999,-9999,-9999,89.9858017,243.4349976,1419,89.9915009,266.1860046,1421
POLRA3_20240625_17_57_31,2024-06-25_18-00-06_v2.csv,tree,42.32810572,116.9925289,nan,1476.610247,32.4094986,8,11,53,10,292.58881,296.37964,292.25793,0.25057983,-9999,-9999,-9999,89.990799,332.8190002,1449,89.9941025,338.1990051,1448
POLRA3_20240626_09_56_33,2024-06-26_09-57-25_v2.csv,crop,42.39717496,117.2234159,nan,1499.473529,16.16438155,7,3,54,2,293.01959,296.15601,292.50061,0.24879456,-9999,-9999,-9999,89.9845963,194.0359955,1478,89.9912033,213.6900024,1481
POLRA3_20240626_16_39_01,2024-06-26_16-39-44_v2.csv,water,42.40432395,117.2528319,water,1527.541051,18.39352665,7,4,55,9,291.56299,292.84375,291.36133,0.26289368,-9999,-9999,-9999,89.9832993,23.1986008,1500,89.9597015,251.5650024,1499
POLRA3_20240626_17_37_01,2024-06-26_17-38-09_v2.csv,cropandnatural,42.32466631,117.2055227,cropgrasstree,1539.575419,28.82935478,8,3,56,10,293.3877,297.45581,292.07141,0.25401306,-9999,-9999,-9999,89.9832001,228.576004,1501,89.9888,307.875,1504
POLRA3_20240626_17_49_57,2024-06-26_17-50-22_v2.csv,crop,42.32398992,117.2046212,nan,1531.104867,20.43547763,8,3,56,10,293.3877,297.45581,292.07141,0.25401306,-9999,-9999,-9999,89.9698029,198.4349976,1498,89.9787979,180,1499
POLRA3_20240627_09_21_18,2024-06-27_09-25-22_v2.csv,cropandnatural,42.32470576,117.2054881,croptreegrass,1528.988672,30.93506306,8,3,57,1,294.19458,297.85181,292.95215,0.25164795,-9999,-9999,-9999,89.9832001,228.576004,1501,89.9888,307.875,1504
POLRA3_20240627_09_34_08,2024-06-27_09-34-08_v2.csv,cropandnatural,42.32420346,117.2051439,croptree,1529.189015,27.06242502,8,3,58,2,297.97467,301.96838,298.06628,0.21710205,-9999,-9999,-9999,89.9832001,228.576004,1501,89.9933014,251.5650024,1503
POLRA3_20240627_12_57_00,2024-06-27_12-58-29_v2.csv,crop,42.45727435,117.1948582,nan,1491.72144,17.30148048,6,0,59,5,297.7699,299.75781,296.94043,0.21600342,-9999,-9999,-9999,89.9831009,315,1473,89.989502,204.4440002,1475
