index,lon,lat,file,filename,date,time,Shape_Leng,Shape_Area,soil_texture_flag,bulk_densi,clay100%,sand100%,landuse,area_lon_min,area_lat_min,soil temperature,NDVI_ref,NDVI,wfilename,w_Tb,ground_temperature,2m_temperature(water_t-0.012),skin_temperature(vegetation_t),Soil_temperature_level1,timeflag,landuse2,slope60,slope30,slope20,dem30,dem60,dem20
1,117.2052244,42.32448166,67,2024-06-21_17-05-49_v2.csv,2024/6/21,17-05-49,nan,nan,7,1.55,4,89,cropandnatural,117.2052244,42.32448166,0.2931366,0.851,0.5561,nan,nan,288.77854,288.77734,294.3877,289.22363,summer,cropandnatural,89.9832001,89.9908981,-9999,1503,1501,-9999
2,117.2045642,42.32338741,68,2024-06-21_18-28-41_v2.csv,2024/6/21,18-28-41,nan,nan,7,1.55,4,89,crop,117.2045642,42.32338741,0.23606873,0.851,0.5561,nan,nan,290.11497,290.11377,294.38843,290.19409,summer,crop,89.9698029,89.9841003,-9999,1498,1498,-9999
3,117.2051528,42.32445129,69,2024-06-21_18-36-15_v2.csv,2024/6/21,18-36-15,nan,nan,7,1.55,4,89,crop,117.2051528,42.32445129,0.29408264,0.851,0.5561,nan,nan,290.53929,290.53809,294.95703,290.22217,summer,crop,89.9832001,89.9908981,-9999,1503,1501,-9999
4,117.2074158,42.32567505,70,2024-06-23_09-16-56_v2.csv,2024/6/23,09-16-56,nan,nan,7,1.55,4,89,grass,117.2074158,42.32567505,0.24588013,0.851,0.6086,nan,nan,302.9221,302.9209,308.08472,301.5896,summer,grass,89.9726028,89.9923019,-9999,1508,1506,-9999
5,117.2045816,42.32334917,71,2024-06-23_09-57-35_v2.csv,2024/6/23,09-57-35,nan,nan,7,1.55,4,89,crop,117.2045816,42.32334917,0.2046814,0.851,0.5561,nan,nan,304.92259,304.92139,309.67139,304.33813,summer,crop,89.9698029,89.9841003,-9999,1498,1498,-9999
6,117.205071,42.32471214,72,2024-06-23_09-59-53_v2.csv,2024/6/23,09-59-53,nan,nan,7,1.55,4,89,crop,117.205071,42.32471214,0.2046814,0.851,0.5561,nan,nan,304.92259,304.92139,309.67139,304.33813,summer,crop,89.9832001,89.9915009,-9999,1503,1501,-9999
7,117.2317071,42.30508654,73,2024-06-23_16-49-23_v2.csv,2024/6/23,16-49-23,nan,nan,8,1.11,28,31,grass,117.2317071,42.30508654,0.20285034,0.851,0.7258,nan,nan,305.06834,305.06714,308.98853,304.12891,summer,grass,89.9863968,89.9700012,-9999,1467,1466,-9999
8,117.3102377,42.32665572,74,2024-06-23_18-34-02_v2.csv,2024/6/23,18-34-02,nan,nan,8,1.11,28,31,grass,117.3102377,42.32665572,0.36219788,0.851,0.6176,nan,nan,288.13328,288.13208,288.75391,289.10925,summer,grass,89.9858017,89.9881973,-9999,1535,1533,-9999
9,116.884503,42.41473007,75,2024-06-24_10-42-22_v2.csv,2024/6/24,10-42-22,nan,nan,9,1.62,6,88,bareland,116.884503,42.41473007,0.34623718,0.851,0.3029,nan,nan,289.2805,289.2793,289.17041,289.43311,summer,bareland,89.9888,89.9921036,-9999,1359,1358,-9999
10,116.8940679,42.41436366,76,2024-06-24_11-42-43_v2.csv,2024/6/24,11-42-43,nan,nan,10,1.33,26,40,bareland,116.8940679,42.41436366,0.34329224,0.851,0.3651,nan,nan,288.44248,288.44128,288.63,289.07397,summer,bareland,89.9760971,89.9925995,-9999,1343,1345,-9999
